,generation,best_fitness,worst_fitness,feasible,average_fitness,std_fitness
95,95,5319.50335484097,125109625.38870592,True,-3585199.580802318,16112989.997512057
96,96,5319.50335484097,44397578.11977701,True,-1448948.0476579638,5829251.477349737
97,97,5319.496024445481,58727747.79252368,True,-1666521.221713256,7678369.943538095
98,98,5319.496024445481,63687651.111598834,True,-2520265.8385135583,9173262.939325443
99,99,5319.496024445481,58719249.778618984,True,-2226002.5327470936,9452550.628910339
100,100,5319.496024445481,128952374.5452604,True,-3670201.0402464084,18551293.85146087
101,101,5319.496024445481,49230809.81403941,True,-1030948.5275424726,5741351.817458988
102,102,5319.496024445481,104612607.93320969,True,-2974172.759822758,14961071.216964256
103,103,5319.496024445481,85747743.5585745,True,-3026014.114242458,13412466.563922022
104,104,5319.487648698802,169220054.38347924,True,-6011762.267554615,22595699.989769403
105,105,5319.487648698802,27970222.702662174,True,-1014610.2900787757,4074714.91180062
106,106,5319.487648698802,94764949.60259514,True,-3417740.987376798,13735387.754722344
107,107,5319.487648698802,73339852.55656686,True,-2152615.4348339094,10715940.155864183
108,108,5319.487648698802,146978593.18529058,True,-3783613.843974137,19928357.94881181
109,109,5319.487648698802,116156431.87395443,True,-5686336.011985474,19869560.80431088
110,110,5319.4490597682,28055391.90404884,True,-1074344.6164559398,4441153.004170085
111,111,5319.4490597682,132922141.49154104,True,-3540209.325443517,17144548.180962227
112,112,5319.431223608465,15975998.633566838,True,-570517.4666167749,2188777.600469547
113,113,5319.431223608465,47314560.025291264,True,-2449998.0046888175,8599430.82701963
114,114,5292.823229565282,28045250.03454812,True,-1995993.782147656,6415123.9644613145
115,115,5292.823229565282,91249025.51101328,True,-3509545.641733262,14113318.883468864
116,116,5292.800203255369,129315705.02821907,True,-3509059.071331142,17546855.29125319
117,117,5292.800203255369,86739298.3649687,True,-2467344.5766009395,10839147.858494561
118,118,5292.800203255369,52263086.03208757,True,-2275131.200994609,8526449.748823218
119,119,5094.6476633404245,177146877.06852818,True,-6775550.8520539915,25480070.214759447
120,120,5094.6476633404245,64042483.85594198,True,-3816812.958663257,11497849.856202811
121,121,5094.6476633404245,93740026.18377781,True,-2873666.8606432783,13780673.677349946
122,122,5093.447143331867,114443106.6553126,True,-1672799.611192531,12090194.965646178
123,123,5093.447143331867,115553003.12192422,True,-1837005.3741584057,12384916.357786434
124,124,5093.447143331867,128613651.43745528,True,-5096016.30827507,17930186.951399315
125,125,5093.447143331867,181310324.82187814,True,-4856842.748006093,25946242.21794745
126,126,5093.447143331867,164753769.46825036,True,-8467135.273747034,30307600.353971552
127,127,5093.447143331867,92061412.66470338,True,-2286870.9138957295,11040260.386165591
128,128,5093.447143331867,22411234.811583396,True,-706623.2144188756,3000337.7439163104
129,129,5093.447143331867,353285140.18159884,True,-6214667.376089837,37771152.672140114
130,130,4994.295102169269,114175734.67201185,True,-5100370.692516342,21529348.458271787
131,131,4994.295102169269,251502401.18219176,True,-6629070.271324453,29603716.64574027
132,132,4994.295102169269,282026387.2752324,True,-9796045.632968288,36126129.6733019
133,133,4994.241420082115,190271718.32411027,True,-8917376.144263765,31759845.835191563
134,134,4994.241420082115,118417722.10687655,True,-3501763.832881002,16382651.445232706
135,135,4994.241420082115,120455640.84455808,True,-5441525.223287889,19994545.431923795
136,136,4994.241420082115,22610402.346022595,True,-891798.1343157651,3202467.1541826944
137,137,4994.241420082115,183826478.88955835,True,-5063135.368489655,22291385.759329468
138,138,4994.241420082115,181771434.00991067,True,-3537527.8168990626,20043681.223662525
139,139,4979.598081854299,187352966.71168184,True,-11177211.270192431,36687589.96085671
